#http://open.canada.ca/data/en/dataset/b52664cf-bfd9-49ad-849a-cb88c92553b9
Ref_Date,GEO,MEASURE,Vector,Coordinate,Value
1979,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,39.0
1980,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-57.0
1981,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-146.0
1982,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-95.0
1983,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,105.0
1984,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-31.0
1985,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-108.0
1986,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,185.0
1987,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,44.0
1988,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-216.0
1989,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-69.0
1990,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-166.0
1991,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-230.0
1992,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,96.0
1993,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-62.0
1994,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-32.0
1995,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-147.0
1996,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-80.0
1997,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-129.0
1998,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-276.0
1999,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-217.0
2000,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-320.0
2001,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-559.0
2002,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-21.0
2003,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-139.0
2004,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,46.0
2005,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-262.0
2006,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-242.0
2007,"Devon Ice Cap NW - Devon Island, Nunavut",Annual mass balance,v54326057,4.1,-291.0
1961,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-197.0
1962,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-556.0
1963,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-512.0
1964,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-387.0
1965,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-323.0
1966,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-458.0
1967,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-485.0
1968,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-660.0
1969,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-835.0
1970,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-796.0
1971,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-865.0
1972,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-763.0
1973,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-858.0
1974,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-935.0
1975,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1004.0
1976,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-833.0
1977,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-932.0
1978,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-905.0
1979,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-866.0
1980,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-923.0
1981,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1069.0
1982,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1164.0
1983,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1059.0
1984,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1090.0
1985,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1198.0
1986,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1013.0
1987,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-969.0
1988,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1185.0
1989,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1254.0
1990,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1420.0
1991,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1650.0
1992,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1554.0
1993,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1616.0
1994,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1648.0
1995,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1795.0
1996,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-1875.0
1997,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-2004.0
1998,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-2280.0
1999,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-2497.0
2000,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-2817.0
2001,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-3376.0
2002,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-3397.0
2003,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-3536.0
2004,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-3490.0
2005,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-3752.0
2006,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-3994.0
2007,"Devon Ice Cap NW - Devon Island, Nunavut",Cumulative mass balance,v54326063,4.2,-4285.0
1960,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-750.0
1961,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-110.0
1962,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-970.0
1963,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-200.0
1964,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,360.0
1965,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,60.0
1966,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-70.0
1967,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-50.0
1968,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,50.0
1969,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,110.0
1970,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-10.0
1971,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-420.0
1972,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,30.0
1973,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,30.0
1974,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-30.0
1975,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,80.0
1976,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,80.0
1977,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-240.0
1978,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-90.0
1979,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-5.0
1980,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-5.0
1981,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-170.0
1982,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,160.0
1983,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-250.0
1984,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,230.0
1985,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-30.0
1986,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,250.0
1987,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-180.0
1988,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-290.0
1989,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,290.0
1990,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-210.0
1991,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-220.0
1992,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,10.0
1993,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-590.0
1994,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-200.0
1995,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,60.0
1996,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,190.0
1997,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-60.0
1998,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-100.0
1999,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-350.0
2000,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-490.0
2001,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,10.0
2002,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,80.0
2003,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-530.0
2004,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,280.0
2005,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-380.0
2006,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-8.0
2007,"Meighen Ice Cap - Meighen Island, Nunavut",Annual mass balance,v54326058,5.1,-518.0
1960,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-750.0
1961,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-860.0
1962,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1830.0
1963,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2030.0
1964,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1670.0
1965,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1610.0
1966,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1680.0
1967,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1730.0
1968,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1680.0
1969,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1570.0
1970,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1580.0
1971,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2000.0
1972,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1970.0
1973,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1940.0
1974,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1970.0
1975,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1890.0
1976,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1810.0
1977,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2050.0
1978,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2140.0
1979,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2145.0
1980,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2150.0
1981,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2320.0
1982,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2160.0
1983,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2410.0
1984,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2180.0
1985,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2210.0
1986,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-1960.0
1987,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2140.0
1988,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2430.0
1989,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2140.0
1990,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2350.0
1991,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2570.0
1992,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-2560.0
1993,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-3150.0
1994,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-3350.0
1995,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-3290.0
1996,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-3100.0
1997,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-3160.0
1998,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-3260.0
1999,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-3610.0
2000,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-4100.0
2001,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-4090.0
2002,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-4010.0
2003,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-4540.0
2004,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-4260.0
2005,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-4640.0
2006,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-4648.0
2007,"Meighen Ice Cap - Meighen Island, Nunavut",Cumulative mass balance,v54326064,5.2,-5166.0
1960,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-408.0
1961,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,17.0
1962,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-781.0
1963,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-155.0
1964,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,350.0
1965,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-12.0
1966,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-25.0
1967,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,118.0
1968,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-408.0
1969,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,72.0
1970,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-4.0
1971,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-183.0
1972,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,118.0
1973,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,191.0
1974,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-44.0
1975,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,251.0
1976,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,114.0
1977,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-370.0
1978,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-131.0
1979,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-87.0
1980,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-122.0
1981,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-178.0
1982,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-175.0
1983,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-76.0
1984,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-44.0
1985,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,1.0
1986,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-243.0
1987,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-594.0
1988,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,140.0
1989,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,40.0
1990,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-431.0
1991,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-160.0
1992,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-274.0
1993,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-423.0
1994,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-276.0
1995,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-347.0
1996,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,50.0
1997,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-38.0
1998,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-201.0
1999,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-470.0
2000,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-405.0
2001,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-151.0
2002,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,32.0
2003,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-106.0
2004,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,37.0
2005,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-612.0
2006,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-93.0
2007,"White Glacier - Axel Heiberg Island, Nunavut",Annual mass balance,v54326059,6.1,-818.0
1960,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-408.0
1961,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-391.0
1962,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1172.0
1963,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1327.0
1964,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-977.0
1965,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-989.0
1966,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1014.0
1967,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-896.0
1968,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1304.0
1969,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1232.0
1970,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1236.0
1971,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1419.0
1972,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1301.0
1973,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1110.0
1974,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1154.0
1975,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-903.0
1976,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-789.0
1977,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1159.0
1978,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1290.0
1979,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1377.0
1980,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1499.0
1981,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1677.0
1982,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1852.0
1983,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1928.0
1984,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1972.0
1985,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-1971.0
1986,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-2214.0
1987,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-2808.0
1988,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-2668.0
1989,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-2628.0
1990,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-3059.0
1991,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-3219.0
1992,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-3493.0
1993,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-3916.0
1994,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-4192.0
1995,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-4539.0
1996,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-4489.0
1997,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-4527.0
1998,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-4728.0
1999,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-5198.0
2000,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-5603.0
2001,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-5754.0
2002,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-5722.0
2003,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-5828.0
2004,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-5791.0
2005,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-6403.0
2006,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-6496.0
2007,"White Glacier - Axel Heiberg Island, Nunavut",Cumulative mass balance,v54326065,6.2,-7314.0
